word	x	y	nearest
interval	-24.775463748	84.193692737	0.788
reception	5.07025840045	-86.2166042388	0.347
time	-97.7282185785	-64.5002335862	0.995
intimacy	-67.1667460199	44.2641970457	0.911
gown	-38.6701304934	-83.8632040807	0.658
coach	-62.1503537054	49.6026645849	0.874
half-whisper	36.637984765	-38.0024677406	0.223
corps	32.0686567739	70.3067259265	0.546
impression	-49.4765463379	37.954233843	0.873
dance	-60.7159443219	40.0822985994	0.902
horseback	5.87404730829	12.2710514583	0.401
abatement	1.55718047459	27.9944282968	0.233
mile	-47.1506217563	-98.8620378422	0.802
battle	16.4322244934	15.6152149947	0.310
chair	-46.4741703631	-95.5765396269	0.793
varnish	-4.82996846862	9.62555198222	0.257
anticipation	37.6280741513	66.4306383414	0.502
father	-80.351916009	-14.5638146884	0.951
passage	21.7544451813	67.5205515683	0.660
charge	10.7594464283	-19.589838923	0.237
avowal	30.8501816247	-47.7519979416	0.265
terror	45.4209440476	69.1457145729	0.521
sing	47.520926252	-67.9226119534	0.265
advantage	-19.2358233299	-76.5771084816	0.579
choice	-69.3113063745	14.4909195289	0.949
congregation	-13.5072386592	-53.183165621	0.407
merit	32.7743901794	-42.1125363538	0.205
cook	6.79342881665	-25.2039480618	0.266
trouble	-76.3706587185	1.04180005617	0.958
minute	-55.1768921246	-101.18889313	0.875
brother	-97.1364415817	-65.6693109429	0.996
ascertaining	47.9685404122	-55.9144936465	0.252
leave	-71.5349141969	22.6649968247	0.931
excellence	16.0774319637	-71.6219303161	0.431
speculation	22.9853075137	21.1636158752	0.411
gentlewoman	38.9162596105	-68.6481730344	0.313
round	-52.8532813119	-100.857289977	0.875
application	1.47363322411	-69.1297515684	0.387
accomplishment	18.8781470267	-80.559472602	0.367
regret	-76.3894509538	-18.6579770752	0.972
sigh	-69.0708320084	29.3589980104	0.917
injunction	28.95515863	-29.0279563806	0.235
sign	54.6998717806	70.7605297036	0.597
cost	37.7234224506	-78.0767760564	0.325
talker	46.7299162886	64.018467602	0.480
perplexity	24.5897681338	47.0607316155	0.546
run	-3.29158711676	74.204865591	0.673
fear	-40.0488074068	48.7826767216	0.832
curse	49.1239048414	60.686726237	0.410
constitution	-2.19703758858	-19.8060029831	0.219
church	12.5078503148	27.115483119	0.488
assistance	42.2257448556	-6.64915057757	0.415
favour	-72.81052247	-34.0122462428	0.976
uniform	65.7673733597	-9.81287777482	0.291
business	-74.1512641954	-36.402033322	0.981
ill-nature	-1.56107210801	15.9508692572	0.288
reply	-38.7907525295	72.2625057163	0.812
appeal	51.743392173	51.2606771167	0.490
feebleness	46.378730228	-22.6071364624	0.304
muslin	29.521435676	47.4297205624	0.489
honour	-79.2740060387	-45.0439719702	0.986
clerk	3.16691073334	-14.3342145961	0.255
understanding	11.7510712817	83.7193807132	0.721
water	-44.9032102925	-85.8064476329	0.738
pleasantest	37.031445445	7.93172676153	0.323
address	-14.528972316	74.601659931	0.731
change	-73.5665260429	-26.0214420385	0.977
wait	-56.6568674715	42.7989941523	0.891
boy	2.82144063321	-73.2562395275	0.384
merriment	11.8089648311	-5.61760190319	0.228
parasol	14.6284652485	-8.24634510858	0.256
boast	20.0552136744	-63.3353649313	0.466
bow	14.9338626751	-59.8308413858	0.328
trial	17.4879152925	85.797230965	0.715
suggestion	37.3325483422	36.30040324	0.406
